Key,English(en),Spanish(es),Portuguese (Brazil)(pt-BR),Italian(it),Korean(ko)
D_Title1,Mother Mountain,Madre Monte,Mãe do bosque,Madre Montagna,마더 마운틴
D_Title2,Frailejón,Frailejón,Frailejón,Frailejón,Frailejón
DM_Dialogue1_1,Greetings. earth's children! Welcome to Triforestation., ¡Saludos. hijo de la Tierra!  Bienvenido a Triforestation.,Saudações. filhos da terra! Bem-vindo à Triforestation.,Saluti. figli della terra! Benvenuti nella Triforestation.,인사말. 지구의 아이들! Triforestation에 오신 것을 환영합니다.
DM_Dialogue1_2,Your mission is to heal the wound that humanity left on our beloved planet Earth, Tu misión es sanar la herida que la humanidad dejó en nuestro amado planeta Tierra. ,Sua missão é curar a ferida que a humanidade deixou em nosso amado planeta Terra.,La tua missione è curare la ferita che l'umanità ha lasciato sul nostro amato pianeta Terra. ,당신의 임무는 인류가 사랑하는 지구에 남긴 상처를 치유하는 것입니다. 
DM_Dialogue1_3,Here. every choice matters. Are you ready to go on board on this noble task?,Aquí. cada elección importa. ¿Estás listo para embarcarte en esta noble tarea?,Aqui. toda escolha é importante. Você está pronto para embarcar nesta nobre tarefa?,Qui. ogni scelta conta. Siete pronti a salire a bordo di questo nobile compito?,여기. 모든 선택이 중요합니다. 이 고귀한 임무에 동참할 준비가 되셨나요?
DM_Dialogue1_4,I'm so thrilled. Look around. this is your canvas. With triominos of biomes. you will build the new Pangea.,Estoy muy emocionada . Mira a tu alrededor. este es tu lienzo. Con triominos de biomas. construirás la nueva Pangea.,Estou tão emocionado. Olhar em volta. esta é a sua tela. Com triominos de biomas. você construirá a nova Pangea.,Sono così emozionato. Guardati intorno. questa è la tua tela. Con triomini di biomi. costruirai la nuova Pangea.,정말 신난다. 주위를 둘러보세요. 이것이 당신의 캔버스입니다. 생물 군계의 트리오미노 와 함께. 새로운 판게아를 건설하게 됩니다.
DM_Dialogue1_5,Why triomino and not dominoes? Oh dear frailejón. The best things always come in threes.,¿Por qué triomino y no dominó? Oh querido Frailejón. las mejores cosas vienen de a tres siempre,Por que triominó e não dominó? Oh querido frailejón. As melhores coisas sempre vêm em três.,Perchè triomino e non domino? Oh caro frailejón. Le cose migliori arrivano sempre senza tre. ,왜 도미노가 아니고 트리오미노인가요? 오, frailejón 님. 최고의 것들은 항상 세 가지로 나옵니다.
DM_Dialogue1_6,Sun. the moon and the stars. Or as the trees would say. roots. trunk and leaves! Nature always makes her best shots in three moves!,El sol. la luna y las estrellas. ¡O como dirían los árboles. raíces. tronco y hojas! ¡La naturaleza siempre hace sus mejores jugadas en tres movimientos!,Sol. a lua e as estrelas. Ou como diriam as árvores. raizes. tronco e folhas! A natureza sempre dá seus melhores golpes em três movimentos!,Sole. la luna e le stelle. O come direbbero gli alberi. radici. tronco e foglie! La natura realizza sempre i suoi scatti migliori in tre mosse!,해. 달과 별. 아니면 나무가 말했듯이. 뿌리. 줄기와 잎! “자연은 언제나 세 가지 동작으로 최고의 샷을 만들어냅니다!
DM_Dialogue1_7,Dear Frailejón. Now let me guide you in the art of biome triominoes.,Querido Frailejón. ahora permíteme guiarte en el arte de los triominos de biomas. ,Prezado Frailejón. Agora deixe-me guiá-lo na arte dos triominós do bioma.,Caro Frailejón. Ora lascia che ti guidi nell'arte dei triomini del bioma.,친애하는 Frailejón. 이제 생물군계 트리오미노 기술을 안내해 드리겠습니다.
DM_Dialogue1_8,Each piece has three sides. and on each side. you will find the essence of a biome.,Cada pieza tiene tres lados. y en cada lado. encontrarás la esencia de un bioma. ,Cada peça tem três lados. e de cada lado. você encontrará a essência de um bioma.,Ogni pezzo ha tre lati. e su ciascun lato. troverai l'essenza di un bioma.,각 조각에는 세 개의 면이 있습니다. 그리고 양쪽에. 당신은 생물 군계의 본질을 발견하게 될 것입니다.
DM_Dialogue1_9,Forest. jungle. Mountain. each one hopes to be part of your creation.,Bosque. jungla. Montaña. cada uno espera ser parte de tu creación.,Floresta. selva. Montanha. cada um espera fazer parte da sua criação.,Foresta. giungla. Montagna. tutti sperano di far parte della tua creazione.,숲. 밀림. 산. 각자는 당신 창조의 일부가 되기를 원합니다.”
DM_Dialogue1_10,Join two sides of each piece with their respective ecosystem and thus piece by piece you will be reforesting the planet of tomorrow., Une dos lados de cada pieza con sus respectivo ecosistema y así pieza por pieza estarás reforestando el planeta del mañana.,Una as duas faces de cada peça com seu respectivo ecossistema e assim peça por peça você estará reflorestando o planeta de amanhã.,Unisci due lati di ogni pezzo con il rispettivo ecosistema e così pezzo dopo pezzo riforesterai il pianeta di domani.,각 조각의 양면을 각각의 생태계와 결합함으로써 조각 하나하나가 내일의 행성을 재조림하게 될 것입니다.
DM_Dialogue1_11,So. with each choice. you will build a world where diversity flourishes.,Así. con cada elección. construirás un mundo donde la diversidad florece.,Então. com cada escolha. você construirá um mundo onde a diversidade florescerá.,Così. con ogni scelta. costruirai un mondo in cui fiorisce la diversità.,그래서. 각각의 선택으로. 다양성이 꽃피는 세상을 만들 것입니다.
DM_Dialogue1_12,Now. take these triominoes. Frailejón. and let them guide you toward the restoration of the earth., Ahora. toma estos triominos. Frailejón. y déjalos guiarte hacia la restauración de la tierra. ,Agora. pegue esses triominós. Frailejón. e deixe-os guiá-lo em direção à restauração da terra.,Ora. prendi questi triomini. Frailejón. e lasciate che vi guidino verso la restaurazione della terra.,지금. 이 트리오미노를 가져가세요. Frailejón. 그리고 지구복귀의 방향으로 인도하게 하소서.
DM_Dialogue1_13,May each connection be like a whisper of nature celebrating your wisdom!,¡Que cada conexión sea como un susurro de la naturaleza celebrando tu sabiduría!,Que cada conexão seja como um sussurro da natureza celebrando a sua sabedoria!,Possa ogni connessione essere come un sussurro della natura che celebra la tua saggezza!,각각의 연결이 당신의 지혜를 축하하는 자연의 속삭임처럼 되기를 바랍니다!
DM_Dialogue2_1,Now. I will give you a gift of my essence. a wild card.,Ahora. te daré un regalo de mi esencia. un comodín. ,Agora. Vou te dar um presente da minha essência. Um curinga,Ora. Ti farò dono della mia essenza. un jolly.,지금. 당신에게 내 에센스를 선물하겠습니다. 와일드카드. 
DM_Dialogue2_2,Use it in difficult times. when you feel like you can't advance or join any biome.,Úsalo en tiempos difíciles. cuando sientas que no puedas avanzar o unir ningún bioma. ,Use-o em tempos difíceis. quando você sente que não pode avançar ou ingressar em nenhum bioma.,Usalo nei momenti difficili. quando ritieni di non poter avanzare o unirti a nessun bioma.,어려운 시기에 활용해보세요. 어떤 생물 군계에서도 발전하거나 합류할 수 없다고 느낄 때.
DM_Dialogue2_3,But keep in mind that each relief has its tribute in the natural balance. therefore a random piece on the board will be blocked by a catastrophe and you will have to go around it to heal it.,pero ten en cuenta que cada alivio tiene su tributo en el equilibrio natural por ende una pieza al azar del tablero sera bloqueada por una catástrofe y deberás rodearla para sanarla.,Mas lembre-se que cada relevo tem seu tributo no equilíbrio natural. portanto uma peça aleatória do tabuleiro será bloqueada por uma catástrofe e você terá que contorná-la para curá-la.,Tenete però presente che ogni rilievo ha il suo tributo nell'equilibrio naturale. quindi un pezzo a caso sulla scacchiera verrà bloccato da una catastrofe e dovrete aggirarlo per curarlo.,하지만 각 구호에는 자연 균형에 대한 공물이 있으므로 보드의 임의의 조각이 재앙으로 인해 막힐 수 있으며 이를 치료하려면 주위를 돌아다녀야 한다는 점을 명심하십시오.
DM_Dialogue2_4,But don't worry. my dear son too. You can form shapes with the biomes for additional challenges.,Pero tranquilo mi querido hijo. también puedes  formar figuras con los biomas para desafíos adicionales.,Mas não se preocupe, meu querido filho também. Você pode formar formas com os biomas para desafios adicionais.,Ma non preoccuparti, anche mio caro figlio. Puoi formare forme con i biomi per ulteriori sfide.,하지만 걱정하지 마세요. 내 사랑하는 아들도. 추가적인 도전을 위해 생물 군계로 모양을 형성할 수 있습니다.
DM_Dialogue2_5,Nature appreciates creativity. Try it and get rewards from an ancient era!, La naturaleza aprecia la creatividad. ¡Inténtalo y obtén recompensas de una era antigüa!,A natureza aprecia a criatividade. Experimente e receba recompensas de uma era antiga!,La natura apprezza la creatività. Provalo e ottieni ricompense di un'epoca antica!,자연은 창의성을 높이 평가합니다. 그것을 시도하고 고대 시대의 보상을 받으세요
DM_Dialogue2_6,The incubation phase was successful. Now. nests animals.,La fase de incubación fue exitosa. Ahora. anida a los animales. ,A fase de incubação foi bem-sucedida. Agora. nidifica animais.,La fase di incubazione ha avuto successo. Ora. nidifica animali.,인큐베이션 단계는 성공적이었습니다. 지금. 동물을 둥지로 만듭니다.
DM_Dialogue2_7,Remember. follows the food chain: decomposers. primary consumers. secondary. tertiaries and the alpha predator. Strategy is the key.,Recuerda. sigue la cadena trófica: descomponedores. consumidores primarios. secundarios. terciarios y el depredador alfa. La estrategia es la clave.,Lembrar. segue a cadeia alimentar: decompositores. consumidores primários. secundário. terciários e o predador alfa. Estratégia é a chave.,Ricordare. segue la catena alimentare: decompositori. consumatori primari. secondario. terziari e il predatore alfa. La strategia è la chiave.,기억하다. 먹이사슬을 따라가는 분해자. 1차 소비자. 중고등 학년. 3차 및 알파 포식자. 전략이 핵심입니다.
DM_Dialogue2_8,Seek balance my son. A harmonious ecosystem will reward you with more life and points.,Busca el equilibrio hijo mío. Un ecosistema armonioso te recompensará con más vida y puntos. ,Busque o equilíbrio meu filho. Um ecossistema harmonioso irá recompensá-lo com mais vida e pontos.,Cerca l'equilibrio, figlio mio. Un ecosistema armonioso ti ricompenserà con più vita e punti.,내 아들아, 균형을 찾으라. 조화로운 생태계는 더 많은 생명력과 포인트로 보상해 줄 것입니다.
DM_Dialogue2_9,Take care of each relationship in nature as a mother takes care of her child.,Cuida cada relación en la naturaleza como la madre cuida de su hijo.,Cuide de cada relacionamento na natureza como uma mãe cuida de seu filho.,Prenditi cura di ogni relazione nella natura come una madre si prende cura di suo figlio.,어머니가 아이를 보살피듯이 자연 속에서 모든 관계를 보살피십시오.
