Key,English(en),Spanish(es),Portuguese (Brazil)(pt-BR),Italian(it),Korean(ko)
Tree_1,Mahogany tree,Árbol Caoba,Árvore de mogno,Albero di mogano,마호가니 나무
Tree_2,Amazon water-lily,Victoria Amazónica,Vitória-régia,Victoria amazonica,아마존 수련
Tree_3,Purple orchid tree,Orquídea Morada,Orquídea roxa,Orchidea viola,보라색 난초 나무
Tree_4,Açaí palms,Árbol de Asaí,Árvore de açai,Albero di acai,아사이 야자나무
Tree_5,Rubber tree,Árbol de Caucho,Árvore da borracha,Albero della gomma,고무 나무
Tree_6,Cinchona tree,Cinchona,Quina,Cinchona,신코나 나무
Tree_7,Golden trumpet tree,Lapacho amarillo,Ipê amarelo,Albero dalle trombe d’oro,황금 나팔나무
Tree_8,Golden fig tree,Higuerón,Apuí,Higuerón,황금무화과나무
Tree_9,Maple leaf,Arce otoñal,Folha de bordo,Foglia d'acero,단풍잎
Tree_10,Golden wattle,Acacia,Acácia,Acacia,황금빛 와틀
Tree_11,Fynbos,Fynbos,Fynbos,Fynbos,핀보스
